Segmento,Faixa,Modelo,n,Score Médio,Apelo Médio,Conversão Média,Risco Médio
Desconto,0-20%,llama3.2,26,6.0200,6.0200,54.3800,32.3100
Desconto,0-20%,qwen2.5:7b,26,5.4000,5.4000,42.5800,47.6900
Desconto,20-40%,llama3.2,54,6.0500,6.0500,57.6600,34.4400
Desconto,20-40%,qwen2.5:7b,54,5.8900,5.8900,49.9400,33.3300
Desconto,40-60%,llama3.2,123,5.7600,5.7600,57.4400,38.8200
Desconto,40-60%,qwen2.5:7b,123,6.1200,6.1200,51.5600,32.4000
Desconto,>60%,llama3.2,97,5.4000,5.4000,53.0000,47.1500
Desconto,>60%,qwen2.5:7b,97,5.9600,5.9600,49.6500,41.1300
Rating,sem rating,llama3.2,20,3.4200,3.4200,17.2500,100.0000
Rating,sem rating,qwen2.5:7b,20,3.7800,3.7800,25.6600,83.5000
Rating,baixo (<3),llama3.2,58,4.2700,4.2700,39.0900,83.7900
Rating,baixo (<3),qwen2.5:7b,58,4.5200,4.5200,33.9100,76.1200
Rating,médio (3-4),llama3.2,151,5.8700,5.8700,59.1100,31.5800
Rating,médio (3-4),qwen2.5:7b,151,6.0000,6.0000,50.3400,31.9900
Rating,alto (>4),llama3.2,71,7.2400,7.2400,73.1800,5.9200
Rating,alto (>4),qwen2.5:7b,71,7.6800,7.6800,68.7300,1.4100
Preço,barato,llama3.2,92,5.5200,5.5200,54.6100,45.5800
Preço,barato,qwen2.5:7b,92,5.8900,5.8900,49.1000,41.6300
Preço,médio-baixo,llama3.2,58,5.8800,5.8800,59.4700,33.1900
Preço,médio-baixo,qwen2.5:7b,58,6.1700,6.1700,51.7600,29.2200
Preço,médio-alto,llama3.2,77,5.7500,5.7500,53.3600,37.7300
Preço,médio-alto,qwen2.5:7b,77,5.9000,5.9000,49.7100,36.7500
Preço,caro,llama3.2,73,5.8300,5.8300,56.8600,41.4400
Preço,caro,qwen2.5:7b,73,5.9600,5.9600,49.5200,36.4400
Reviews,sem reviews,llama3.2,300,5.7200,5.7200,55.7800,40.1600
Reviews,sem reviews,qwen2.5:7b,300,5.9600,5.9600,49.8700,36.7200
