Tipo,Termo,Frequência
Ponto forte (consenso),material,230
Ponto forte (consenso),qualidade,207
Ponto forte (consenso),alta,184
Ponto forte (consenso),cotton,167
Ponto forte (consenso),blend,114
Ponto forte (consenso),nota,75
Ponto forte (consenso),compradores,75
Ponto forte (consenso),média,74
Ponto forte (consenso),disponível,65
Ponto forte (consenso),desconto,56
Ponto forte (consenso),preço,49
Ponto forte (consenso),atraente,40
Ponto forte (consenso),marca,36
Ponto forte (consenso),foto,35
Ponto forte (consenso),conhecida,31
Fraqueza (consenso),cor,191
Fraqueza (consenso),informada,168
Fraqueza (consenso),compradores,116
Fraqueza (consenso),nota,114
Fraqueza (consenso),baixa,112
Fraqueza (consenso),descrição,93
Fraqueza (consenso),média,75
Fraqueza (consenso),detalhada,39
Fraqueza (consenso),falta,34
Fraqueza (consenso),preço,24
Fraqueza (consenso),original,24
Fraqueza (consenso),material,21
Fraqueza (consenso),alto,19
Fraqueza (consenso),disponível,17
Fraqueza (consenso),informações,10
Discordância,promotion,494
Discordância,delivery,384
Discordância,price,384
Discordância,description,211
Discordância,quality,190
Discordância,reputation,134
